Kazakhstan,18,18,21,66.67%,1.95,00:03:31,0.00%,0,$0.00
Sri Lanka,17,15,20,55.00%,2.60,00:03:43,0.00%,0,$0.00
Iceland,16,16,41,51.22%,2.15,00:01:19,0.00%,0,$0.00
Lebanon,16,16,21,52.38%,2.24,00:01:36,0.00%,0,$0.00
Luxembourg,16,16,25,36.00%,4.16,00:06:24,0.00%,0,$0.00
Uruguay,15,15,16,62.50%,1.50,00:01:17,0.00%,0,$0.00
Costa Rica,14,12,22,36.36%,2.00,00:01:33,0.00%,0,$0.00
Latvia,13,12,17,41.18%,1.94,00:01:48,0.00%,0,$0.00
Qatar,13,13,15,40.00%,1.87,00:01:09,0.00%,0,$0.00
Uzbekistan,13,13,31,64.52%,1.90,00:03:00,0.00%,0,$0.00
Georgia,11,11,13,69.23%,1.31,00:00:54,0.00%,0,$0.00
Lithuania,11,11,13,38.46%,3.46,00:07:11,0.00%,0,$0.00
Cuba,10,10,11,36.36%,2.36,00:09:00,0.00%,0,$0.00
Ghana,10,10,18,38.89%,4.56,00:09:31,0.00%,0,$0.00
Moldova,10,10,14,57.14%,1.79,00:01:21,0.00%,0,$0.00
Myanmar (Burma),10,10,15,60.00%,3.07,00:05:50,0.00%,0,$0.00
Palestine,10,10,22,59.09%,2.32,00:06:16,0.00%,0,$0.00
Jordan,9,7,11,54.55%,2.36,00:02:53,0.00%,0,$0.00
Cambodia,9,8,20,40.00%,3.20,00:04:06,0.00%,0,$0.00
Malta,9,8,12,41.67%,2.08,00:00:43,0.00%,0,$0.00
Sudan,9,10,13,38.46%,3.62,00:06:11,0.00%,0,$0.00
Cyprus,8,8,10,40.00%,2.50,00:05:33,0.00%,0,$0.00
North Macedonia,8,8,13,53.85%,2.31,00:01:44,0.00%,0,$0.00
Panama,8,8,8,62.50%,2.12,00:00:28,0.00%,0,$0.00
Puerto Rico,8,8,8,100.00%,1.00,00:00:00,0.00%,0,$0.00
Azerbaijan,7,5,8,37.50%,1.75,00:00:38,0.00%,0,$0.00
Dominican Republic,7,7,7,71.43%,2.71,00:01:00,0.00%,0,$0.00
Ethiopia,7,5,32,53.12%,2.03,00:07:10,0.00%,0,$0.00
Syria,7,7,10,0.00%,3.20,00:03:47,0.00%,0,$0.00
Lesotho,6,6,16,50.00%,2.12,00:02:59,0.00%,0,$0.00
Libya,6,6,8,62.50%,1.50,00:03:01,0.00%,0,$0.00
Oman,6,6,6,66.67%,1.50,00:03:18,0.00%,0,$0.00
El Salvador,6,6,7,71.43%,2.71,00:00:16,0.00%,0,$0.00
Albania,5,5,5,40.00%,1.80,00:01:48,0.00%,0,$0.00
Bolivia,5,4,33,39.39%,2.03,00:03:13,0.00%,0,$0.00
Côte d’Ivoire,5,5,8,75.00%,1.38,00:00:03,0.00%,0,$0.00
Macao,5,5,5,60.00%,3.20,00:03:07,0.00%,0,$0.00
Namibia,5,5,10,10.00%,2.70,00:07:25,0.00%,0,$0.00
Paraguay,5,5,13,23.08%,2.46,00:04:48,0.00%,0,$0.00
Uganda,5,5,5,60.00%,1.80,00:00:39,0.00%,0,$0.00
Bosnia & Herzegovina,4,4,4,75.00%,2.00,00:00:20,0.00%,0,$0.00
Kyrgyzstan,4,4,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
Kosovo,4,4,5,40.00%,2.80,00:06:08,0.00%,0,$0.00
Angola,3,3,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Bahrain,3,3,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Guatemala,3,3,5,60.00%,1.40,00:00:17,0.00%,0,$0.00
Kuwait,3,3,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Mozambique,3,3,3,33.33%,1.67,00:00:34,0.00%,0,$0.00
Nicaragua,3,3,3,66.67%,1.67,00:04:39,0.00%,0,$0.00
Réunion,3,3,3,66.67%,1.33,00:00:18,0.00%,0,$0.00
Senegal,3,3,3,66.67%,1.33,00:00:13,0.00%,0,$0.00
Trinidad & Tobago,3,3,6,83.33%,1.00,00:00:08,0.00%,0,$0.00
Afghanistan,2,2,2,0.00%,1.50,00:01:39,0.00%,0,$0.00
Botswana,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Grenada,2,2,2,50.00%,2.00,00:01:11,0.00%,0,$0.00
Montenegro,2,2,2,50.00%,3.00,00:00:50,0.00%,0,$0.00
Mongolia,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Yemen,2,2,2,50.00%,1.00,00:00:03,0.00%,0,$0.00
Antigua & Barbuda,1,1,1,0.00%,3.00,00:00:16,0.00%,0,$0.00
Bhutan,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Fiji,1,1,1,0.00%,15.00,00:16:34,0.00%,0,$0.00
Gabon,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Gambia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Guadeloupe,1,1,1,0.00%,2.00,00:01:47,0.00%,0,$0.00
Honduras,1,1,1,0.00%,2.00,00:00:26,0.00%,0,$0.00
Laos,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Liechtenstein,1,1,1,0.00%,2.00,00:01:24,0.00%,0,$0.00
Madagascar,1,1,1,0.00%,2.00,00:00:53,0.00%,0,$0.00
Mauritius,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Niger,1,1,2,50.00%,3.50,00:02:02,0.00%,0,$0.00
Rwanda,1,1,2,50.00%,1.50,00:00:16,0.00%,0,$0.00
Seychelles,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Somalia,1,1,1,0.00%,2.00,00:00:46,0.00%,0,$0.00
Togo,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Tajikistan,1,1,2,50.00%,2.00,00:00:30,0.00%,0,$0.00
Tanzania,1,0,1,0.00%,3.00,00:00:31,0.00%,0,$0.00
Zambia,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
